"","htgt/hdst_.2","htgt/ldst_.2","ltgt/ldst_.2","ltgt/hdst_.2","htgt/hdst_.5","htgt/ldst_.5","ltgt/ldst_.5","ltgt/hdst_.5","htgt/hdst_.8","htgt/ldst_.8","ltgt/ldst_.8","ltgt/hdst_.8","htgt/ldst_.2","ltgt/ldst_.2","ltgt/hdst_.2","htgt/hdst_.5","htgt/ldst_.5","ltgt/ldst_.5","ltgt/hdst_.5","htgt/hdst_.8","htgt/ldst_.8","ltgt/ldst_.8","ltgt/hdst_.8"
"24",2.38339882053337,1.09913916634703,0.914449697780033,1.20494487581133,1.48590617609898,0.967172504040374,1.12895415428899,0.703629122331449,1.54253275287182,0.942072205039541,1.07889472517505,0.257876444561165,0.355612177669442,-0.0972376761343196,0.258413171117089,0.290884330270161,1.04751653713541,0.309066740298665,0.0613511939784296,0.529268337529065,0.154785399349842,0.299508765316443,0.0736310699800804
"25",0.405290043468093,0.244140455483093,5.7595166132729,3.53600704453807,0.897919320706518,0.967172504040374,6.57162413887293,4.02007070428499,1.14804498259414,1.14165723121247,6.57258975198887,4.27783541037144,-0.346021876436473,1.56374912070912,1.07174086395369,0.146299228814386,0.430499370398548,1.93371075519456,1.88896718765641,0.132875158749788,0.0325157234385501,3.62872190392938,1.73648223274516
"26",-0.313454061942672,-0.346143352017276,0.19423704817974,1.10653591882023,-0.0749316582155464,-0.381235326755422,0.147591220606141,0.590782338824523,-0.117293148485207,-0.423715523085013,0.00710361069075102,0.768824500028639,-0.31067231179025,-0.300200477328388,-0.153725775609352,-0.242578358217061,-0.366922700036581,-0.265339716704205,-0.336640011948663,-0.258203468291134,-0.343651576698044,-0.23955782106714,-0.367082206516886
"27",1.54278071463991,1.54337337199164,0.973687967660576,0.273135064301835,1.34336390812505,1.03330694805761,0.839218431011199,0.264780519804516,1.63929390407201,1.10643634424078,1.23813226218415,0.34804374846719,0.430713891245315,-0.0464320387493774,-0.137821182124527,0.123993384207321,0.336370259276821,0.118848964953777,-0.0203593269165595,0.158617325054041,-0.161269267588891,0.29241943424215,-0.215118745101329
"28",1.57715543272478,1.92371087682435,1.31352856855422,0.952771923521634,1.61419421727551,1.40072052593112,1.56200002026333,1.09859286460569,1.996565846965,1.79128692424593,1.45249048508101,1.39623865637473,0.388204209762261,-0.165119357061653,-0.298215761796415,-0.166101390842803,-0.203376738780161,0.169937069296913,-0.158200999209612,-0.174440273283169,-0.200152161883028,-0.104748645980471,-0.240977072089602
"29",1.73965410003504,3.29901129429944,0.571491293208465,1.72774245982656,0.987008238190224,1.0957672562961,0.24728523291678,0.565705275822984,0.753557212316464,1.33732882549966,0.631804717418744,0.505836530302733,3.38018320281574,2.06225795734057,1.15723496084525,9.71807229574695,3.2756132718699,1.77706841582121,3.06929480597019,1.79696730426625,1.88853593128549,0.597019645106777,1.60590509756732
"30",-1.25094637334802,-1.12507456191467,-0.875169613347965,-1.19992401065873,-0.32794418386927,-1.24098309897945,-0.880503281347322,-1.3338822465436,0.150660808684539,-1.2103153321195,-0.831955718934102,-0.643796594499083,-0.0529942806676395,-0.0434876834341473,0.289445967221501,0.043899703657779,-0.313642081294329,0.176926432222813,-0.0737393797803697,0.114225233254115,0.0177377301879183,0.0646231236813931,0.0895991547811308
"31",-0.407203293083207,0.00680985246748067,-0.18925280420483,-0.0559198856371637,-0.267363719980351,-0.0689337855629355,-0.17018344363402,0.192683963675091,-0.13590106217755,0.253308193148649,-0.0663906371596011,0.302960096514177,0.535636115149979,-0.203254082690768,-0.180329250375467,-0.0732426283719945,-0.177188390145222,-0.162505385979033,-0.101375199357328,-0.10241330657073,-0.142808324079081,-0.164150704500494,-0.287309569056529
"32",3.18026728522792,2.42879908324219,2.36734621169231,4.23102030328773,3.09663380420437,2.46254576598558,1.36884287141147,0.854091500340683,1.85514570290319,1.44299148641474,1.12789089040862,1.21214707756659,0.310048133128964,1.88426942987613,8.68753989916553,2.10716955963356,0.737746640869132,0.504723439006221,0.887673591479288,0.828696050602968,0.265174325863744,0.296251726182039,0.359626113076422
"33",-0.275954369486458,0.0737492533180381,-0.101954301222976,-0.203533321123817,0.024847929366204,-0.0285182919968485,-0.204453260365802,-0.277510967603766,-0.0763557383620508,-0.00497831131043603,-0.305246942673246,-0.223015842937634,-0.341733546421151,-0.297968324317331,-0.465874835697548,-0.41252850950885,-0.352685285439416,-0.326376879274455,-0.426894567620084,-0.27266996981007,-0.367743796932589,-0.227764020231423,-0.425850093505258
"34",-0.566576986022115,-0.163581349697574,-0.064540657087896,-0.172780522064098,-0.285181503477092,0.0118972015692385,-0.0611431176692582,-0.286914866229343,0.0948370676075078,0.222000738062699,-0.0970132404305812,-0.448434102702696,-0.0101644591855263,-0.2311609191136,-0.417574338477938,-0.29664737831218,-0.174240686650176,-0.125770973094682,-0.055910465651927,0.0855866304853109,-0.150403990030009,-0.108864942493272,-0.343176557903115
"35",0.0177932214205499,-0.619986355496829,-0.289022521898377,0.251608104960031,-0.395651761156887,-0.822131620203639,-0.382033219794128,0.09864497741932,-0.214054299685392,-0.662434868115379,-0.292997901364854,0.329258893486768,-0.397491277987237,1.83068311429061,-0.338360791168944,-0.18650365052394,-0.478325641483584,2.06573969497069,-0.379676759498204,0.127892143276675,-0.141837106603958,0.0797328598806632,-0.407485981178506
"36",-1.14782221909343,-1.08856216145073,-1.04976661931167,-1.25220376906025,-1.18676134841219,-1.24098309897945,-0.973966417888546,-1.2492471589134,-1.12212048787175,-1.22596905966247,-0.923823528747042,-1.27496772184126,-0.444457954644774,-0.324662868482345,-0.497649674993465,-0.46595650265328,-0.519188312080534,-0.393879794490516,-0.486362794010003,-0.317796785449776,-0.470103081508318,-0.296838592277983,-0.58025631988356
"37",-1.00719837238263,-0.434381653138465,-0.588331674979017,-1.0277083359243,-0.780515884686495,-0.726604089956525,-0.603229309608358,-0.973399465896474,-0.723911134855602,-0.881587053717027,-0.795208595008926,-1.17728647594306,-0.367674966557596,-0.188800139884371,-0.403993687254149,-0.312474398151411,-0.366738804038037,-0.298655287655726,-0.413590440529789,-0.237152898453698,-0.252926149769964,-0.255321502505433,-0.455395687098372
"38",-0.450952934282123,-0.251819650818763,0.035229060605651,-0.394200675294077,-0.260236606581654,-0.616380016594471,-0.15772169209519,0.108048876044897,-0.515502501501355,-0.732876642058766,-0.510418384588812,-0.155390365008115,-0.233053407810526,-0.0236370615729113,-0.356846137722171,-0.279619438705097,-0.269195471709509,-0.274101437103803,-0.0769307744640504,-0.198063158344914,-0.322929088106177,-0.238852717754141,-0.145595219875061
"39",-0.450952934282123,-0.376570352403893,-0.0364804239865862,-0.821664582224178,-0.0107876376272783,-0.484111128560006,-0.363340592485883,-0.797860024885701,-0.214054299685392,-0.38849463611332,-0.017394471926033,-0.775290579362036,-0.304250548232012,-0.0284856710697176,-0.211116500469071,-0.277560869997992,-0.375488810739253,-0.219054713330983,-0.376594464531946,-0.205153343760915,-0.393461330964325,-0.221756827731207,-0.473289459125346
