sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt	rew_tot	left_col	right_col
144	1	128	1	1	1	0.0500	0.0965	0	1	0.558	79	0	0
144	1	129	0	2	2	0.0500	0.0965	1	0	0.294	0	0	82
144	1	130	0	1	1	0.0500	0.0965	1	0	0.481	0	82	0
144	1	131	1	2	2	0.0500	0.0965	0	1	0.389	96	0	0
144	1	132	1	1	3	0.0500	0.0965	0	1	0.636	71	0	0
144	1	133	1	2	2	0.0500	0.0965	1	1	0.518	83	82	0
144	1	134	9	1	3	0.0500	0.0965	1	0	0.521	0	82	0
144	1	135	0	2	3	0.0500	0.0965	0	1	0.603	7	82	82
144	1	136	1	2	3	0.0500	0.0965	0	1	0.349	100	0	0
144	1	137	1	1	2	0.0500	0.0965	1	1	0.465	88	0	82
144	1	138	1	1	1	0.0500	0.0965	1	1	0.389	96	0	82
144	1	139	0	2	2	0.0500	0.0965	1	1	0.409	9	0	82
144	1	140	0	1	2	0.0500	0.0965	1	0	0.590	0	82	0
144	1	141	0	1	1	0.0500	0.0965	0	1	0.389	10	82	82
144	1	142	9	2	3	0.0500	0.0965	0	1	0.503	0	0	0
144	1	143	1	2	3	0.0500	0.0965	0	0	0.416	0	0	0
144	1	144	1	2	3	0.0500	0.0965	0	1	0.411	94	0	0
144	1	145	0	2	3	0.0500	0.0965	1	0	0.529	0	0	82
144	1	146	1	2	3	0.0500	0.0965	1	1	0.490	86	82	0
144	1	147	0	1	3	0.0500	0.0965	1	0	0.605	0	82	0
144	1	148	0	2	3	0.0500	0.0965	0	1	0.407	9	82	82
144	1	149	9	2	2	0.0500	0.0965	1	1	0.442	0	82	0
144	1	150	1	2	3	0.0500	0.0965	0	1	0.536	81	0	0
144	1	151	1	2	1	0.0500	0.0965	1	0	0.343	0	82	0
144	1	152	9	1	3	0.0500	0.0965	1	1	0.796	0	82	0
144	1	153	0	1	1	0.0500	0.0965	1	0	0.497	0	82	0
144	1	154	0	2	2	0.0500	0.0965	0	1	0.441	9	82	82
144	1	155	0	2	3	0.0500	0.0965	1	1	0.798	6	0	82
144	1	156	0	2	2	0.0500	0.0965	1	1	0.384	10	0	82
144	1	157	1	1	2	0.0500	0.0965	0	1	0.433	92	0	0
144	1	158	1	1	1	0.0500	0.0965	1	1	0.570	78	0	82
144	1	159	1	2	2	0.0500	0.0965	0	1	0.483	87	0	0
144	1	160	1	1	1	0.0500	0.0965	1	1	0.539	81	0	82
144	1	161	1	2	2	0.0500	0.0965	0	1	0.413	94	0	0
144	1	162	1	2	3	0.0500	0.0965	0	1	0.427	92	0	0
144	1	163	9	1	1	0.0500	0.0965	1	1	0.505	0	0	82
144	1	164	0	2	3	0.0500	0.0965	0	1	0.404	9	82	82
144	1	165	0	2	2	0.0500	0.0965	1	1	0.465	9	0	82
144	1	166	1	1	3	0.0500	0.0965	0	1	0.387	96	0	0
144	1	167	0	1	3	0.0500	0.0965	1	0	0.481	0	82	0
144	1	168	0	2	3	0.0500	0.0965	1	0	0.278	0	0	82
144	1	169	9	2	2	0.0500	0.0965	0	1	0.426	0	0	0
144	1	170	1	1	3	0.0500	0.0965	1	0	0.685	0	0	82
144	1	171	1	1	3	0.0500	0.0965	1	1	0.477	87	0	82
144	1	172	9	2	3	0.0500	0.0965	1	0	0.706	0	0	82
144	1	173	0	1	3	0.0500	0.0965	1	0	0.710	0	82	0
144	1	174	1	1	2	0.0500	0.0965	0	1	0.405	95	0	0
144	1	175	9	2	3	0.0500	0.0965	0	1	0.422	0	82	82
144	1	176	1	1	3	0.0500	0.0965	1	0	0.411	0	0	82
144	1	177	1	2	2	0.0500	0.0965	0	1	0.474	88	0	0
144	1	178	0	2	2	0.0500	0.0965	0	1	0.453	9	82	82
144	1	179	1	1	1	0.0500	0.0965	0	1	0.457	89	0	0
144	1	180	1	2	3	0.0500	0.0965	0	1	0.393	96	0	0
144	1	181	9	2	2	0.0500	0.0965	0	1	0.330	0	82	82
144	1	182	9	2	2	0.0500	0.0965	0	1	0.271	0	0	0
144	1	183	9	1	3	0.0500	0.0965	0	0	0.318	0	0	0
144	1	184	1	1	1	0.0500	0.0965	0	1	0.304	100	0	0
144	1	185	0	1	3	0.0500	0.0965	1	1	0.482	9	82	0
144	1	186	0	2	2	0.0500	0.0965	0	1	0.386	10	82	82
144	1	187	1	1	1	0.0500	0.0965	0	1	0.274	100	0	0
144	1	188	1	1	2	0.0500	0.0965	0	1	0.342	100	0	0
144	1	189	1	2	2	0.0500	0.0965	0	1	0.346	100	0	0
144	1	190	9	2	2	0.0500	0.0965	0	0	0.331	0	82	82
144	1	191	1	2	1	0.0500	0.0965	1	1	0.593	76	82	0
144	1	192	1	1	1	0.0500	0.0965	1	1	0.413	94	0	82
144	1	193	0	1	3	0.0500	0.0965	0	1	0.353	10	82	82
144	1	194	0	2	2	0.0500	0.0965	0	1	0.681	7	82	82
144	1	195	9	1	3	0.0500	0.0965	0	0	0.544	0	0	0
144	1	196	9	1	3	0.0500	0.0965	0	1	0.715	0	0	0
144	1	197	1	1	3	0.0500	0.0965	0	1	0.494	86	0	0
144	1	198	0	2	2	0.0500	0.0965	1	0	0.489	0	0	82
144	1	199	0	2	2	0.0500	0.0965	0	1	0.437	9	82	82
144	1	200	9	2	1	0.0500	0.0965	0	1	0.380	0	0	0
144	1	201	9	2	2	0.0500	0.0965	1	1	0.442	0	82	0
144	1	202	0	1	3	0.0500	0.0965	1	0	0.453	0	82	0
144	1	203	0	2	2	0.0500	0.0965	0	1	0.406	9	82	82
144	1	204	9	1	3	0.0500	0.0965	1	1	0.487	0	0	82
144	1	205	1	2	2	0.0500	0.0965	1	1	0.514	84	82	0
