trial_num,block_num,reward_type,reward_trial,probability,position,ccw,hrz
573,2,1,1,1,0,0,0
574,2,3,0,3,0,0,1
575,2,3,0,1,0,0,1
576,2,3,0,2,1,0,1
577,2,1,1,3,1,0,0
578,2,2,1,2,1,1,0
579,2,2,1,1,0,1,0
580,2,4,0,3,1,1,1
581,2,1,1,2,0,0,0
582,2,1,1,3,1,0,0
583,2,1,1,2,1,0,0
584,2,1,1,1,0,0,0
585,2,1,1,3,1,0,0
586,2,3,9,1,0,0,1
587,2,3,9,3,1,0,1
588,2,3,0,3,1,0,1
589,2,2,9,3,1,1,0
590,2,4,9,2,1,1,1
591,2,2,1,3,0,1,0
592,2,1,1,3,0,0,0
593,2,1,1,3,0,0,0
594,2,2,9,2,1,1,0
595,2,2,1,1,1,1,0
596,2,4,9,2,1,1,1
597,2,4,0,3,0,1,1
598,2,3,0,2,0,0,1
599,2,3,0,2,1,0,1
600,2,1,1,3,1,0,0
601,2,3,0,3,1,0,1
602,2,3,0,1,0,0,1
603,2,2,1,1,0,1,0
604,2,3,0,3,0,0,1
605,2,1,9,1,1,0,0
606,2,2,1,3,1,1,0
607,2,4,0,3,0,1,1
608,2,3,0,3,1,0,1
609,2,2,1,2,1,1,0
610,2,4,0,3,0,1,1
611,2,3,0,1,0,0,1
612,2,4,0,1,0,1,1
613,2,3,0,3,0,0,1
614,2,1,1,2,1,0,0
615,2,2,9,1,0,1,0
616,2,4,0,1,1,1,1
617,2,3,0,1,1,0,1
618,2,1,9,1,0,0,0
619,2,4,0,3,0,1,1
620,2,3,0,3,1,0,1
621,2,2,1,1,0,1,0
622,2,4,0,2,1,1,1
623,2,1,9,1,0,0,0
624,2,1,1,1,1,0,0
625,2,2,9,1,1,1,0
626,2,2,1,1,1,1,0
627,2,2,1,3,0,1,0
628,2,2,1,2,1,1,0
629,2,4,0,3,0,1,1
630,2,3,0,3,0,0,1
631,2,4,0,3,0,1,1
632,2,4,0,1,0,1,1
633,2,3,0,2,1,0,1
634,2,3,0,1,0,0,1
635,2,2,9,2,1,1,0
636,2,3,0,1,0,0,1
637,2,1,1,3,1,0,0
638,2,1,1,3,0,0,0
639,2,3,0,2,1,0,1
640,2,3,0,2,1,0,1
641,2,2,1,3,1,1,0
642,2,4,0,1,1,1,1
643,2,2,9,3,1,1,0
644,2,2,1,3,1,1,0
645,2,2,1,2,0,1,0
646,2,3,9,3,1,0,1
647,2,1,1,1,0,0,0
648,2,1,1,2,1,0,0
649,2,2,1,3,1,1,0
650,2,4,9,1,0,1,1
651,2,1,1,1,1,0,0
652,2,1,9,3,1,0,0
653,2,1,1,3,1,0,0
654,2,3,0,3,0,0,1
655,2,1,1,1,0,0,0
656,2,3,9,3,1,0,1
657,2,1,9,2,0,0,0
658,2,2,1,1,0,1,0
659,2,4,0,2,1,1,1
